Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/102-SW-6th-Ave-APT-401-Miami-FL-33130/64658345_zpid/","","Condo for sale","Condominium","17","264000","No","","","949","sqft","278.19","","sqft","2","2","102 SW 6th Ave APT 401","Miami","33130","FL","USA"
"https://www.zillow.com/homedetails/1671-SW-16th-St-Miami-FL-33145/43853012_zpid/","","House for sale","Single Family","","1350000","Yes","45000","05/06/2024","1661","sqft","812.76","5450","sqft","4","3","1671 SW 16th St","Miami","33145","FL","USA"
"https://www.zillow.com/homedetails/123-NW-24th-Ave-Miami-FL-33125/43839279_zpid/","","House for sale","Single Family","5","489000","No","","","871","sqft","561.42","5950","sqft","2","1","123 NW 24th Ave","Miami","33125","FL","USA"
"https://www.zillow.com/homedetails/Miami-FL-33135/347492345_zpid/","","Home for sale","Manufactured","37","98000","No","","","","","","2202","sqft","3","2","(undisclosed Address)","Miami","33135","FL","USA"
"https://www.zillow.com/homedetails/649-SW-9th-St-APT-108-Miami-FL-33130/43866146_zpid/","","Condo for sale","Condominium","","225000","Yes","40000","05/07/2024","657","sqft","342.47","","sqft","2","1","649 SW 9th St APT 108","Miami","33130","FL","USA"
"https://www.zillow.com/homedetails/928-SW-3rd-St-209-Miami-FL-33130/64614581_zpid/","","Condo for sale","Condominium","1","225000","No","","","627","sqft","358.85","","sqft","1","2","928 SW 3rd St #209","Miami","33130","FL","USA"
"https://www.zillow.com/homedetails/1201-SW-12th-Ave-Miami-FL-33129/43852843_zpid/","","House for sale","Single Family","","589000","Yes","10000","05/16/2024","1108","sqft","531.59","4500","sqft","3","2","1201 SW 12th Ave","Miami","33129","FL","USA"
"https://www.zillow.com/homedetails/5249-NW-7th-St-APT-219-Miami-FL-33126/43820357_zpid/","","Condo for sale","Condominium","","349900","Yes","5100","05/04/2024","1080","sqft","323.98","","sqft","3","2","5249 NW 7th St APT 219","Miami","33126","FL","USA"
"https://www.zillow.com/homedetails/810-NW-21st-Ct-Miami-FL-33125/43824709_zpid/","","House for sale","Single Family","","539000","Yes","7399","05/14/2024","1453","sqft","370.96","5000","sqft","4","2","810 NW 21st Ct","Miami","33125","FL","USA"
"https://www.zillow.com/homedetails/4074-NW-4th-St-Miami-FL-33126/43843031_zpid/","","House for sale","Single Family","2","775000","No","","","1506","sqft","514.61","6386","sqft","2","2","4074 NW 4th St","Miami","33126","FL","USA"
"https://www.zillow.com/homedetails/2900-SW-16th-St-Miami-FL-33145/43849992_zpid/","","House for sale","Single Family","","575000","No","","","1100","sqft","522.73","3506","sqft","3","2","2900 SW 16th St","Miami","33145","FL","USA"
"https://www.zillow.com/homedetails/2473-SW-13th-St-Miami-FL-33145/43851812_zpid/","","House for sale","Single Family","","749000","Yes","50000","04/22/2024","1266","sqft","591.63","6900","sqft","2","2","2473 SW 13th St","Miami","33145","FL","USA"
"https://www.zillow.com/homedetails/5091-NW-7th-St-APT-711-Miami-FL-33126/70772924_zpid/","","Condo for sale","Condominium","15","288000","No","","","860","sqft","334.88","","sqft","2","1","5091 NW 7th St APT 711","Miami","33126","FL","USA"
"https://www.zillow.com/homedetails/3171-SW-20th-St-Miami-FL-33145/43848754_zpid/","","House for sale","Single Family","7","795000","No","","","1514","sqft","525.1","6600","sqft","3","3","3171 SW 20th St","Miami","33145","FL","USA"
"https://www.zillow.com/homedetails/420-SW-51st-Ave-Miami-FL-33134/43846612_zpid/","","House for sale","Single Family","","644900","Yes","5100","04/30/2024","948","sqft","680.27","5250","sqft","3","2","420 SW 51st Ave","Miami","33134","FL","USA"
"https://www.zillow.com/homedetails/453-SW-2nd-St-APT-405D-Miami-FL-33130/43865945_zpid/","","Condo for sale","Condominium","52","250000","No","","","707","sqft","353.61","","sqft","2","1","453 SW 2nd St APT 405D","Miami","33130","FL","USA"
